,route_name,truck_type,duration_min,distance_m,fuel_cost_€,labor_cost_€,truck_cost_€,total_cost_€,departure,arrival,utilization_time,utilization_load,utilization_rangelimit
0,active-germain,2,112,31217,3.1217,70.56,184.8,258.4817,2030-01-02 07:01:00,2030-01-02 08:53:00,23.33,99.75,0.0
1,angry-marchand,0,160,18789,75.156,80.0,280.0,435.156,2030-01-02 07:01:00,2030-01-02 09:41:00,33.33,99.0,0.0
2,arid-roux,2,128,44205,4.4205000000000005,80.64,184.8,269.8605,2030-01-02 07:01:00,2030-01-02 09:09:00,26.67,99.75,0.0
3,blended-favreau,2,98,24080,2.408,61.74,184.8,248.948,2030-01-02 07:01:00,2030-01-02 08:39:00,20.42,99.25,0.0
4,chromatic-bureau,0,151,17179,68.71600000000001,75.5,280.0,424.216,2030-01-02 07:01:00,2030-01-02 09:32:00,31.46,98.4,0.0
5,equidistant-germain,2,108,29835,2.9835000000000003,68.04,184.8,255.82350000000002,2030-01-02 07:01:00,2030-01-02 08:49:00,22.5,99.5,0.0
6,humid-armistead,2,87,20806,2.0806,54.81,184.8,241.69060000000002,2030-01-02 07:01:00,2030-01-02 08:28:00,18.12,99.75,0.0
7,lead-royer,2,99,24355,2.4355,62.370000000000005,184.8,249.6055,2030-01-02 07:01:00,2030-01-02 08:40:00,20.62,100.0,0.0
8,moderato-caron,0,166,20546,82.184,83.0,280.0,445.184,2030-01-02 07:01:00,2030-01-02 09:47:00,34.58,98.6,0.0
9,rich-merle,0,157,21146,84.584,78.5,280.0,443.084,2030-01-02 07:01:00,2030-01-02 09:38:00,32.71,99.8,0.0
10,woolen-cavey,0,151,12107,48.428000000000004,75.5,280.0,403.928,2030-01-02 07:01:00,2030-01-02 09:32:00,31.46,99.6,0.0
11,worn-legrand,2,86,21674,2.1674,54.18,184.8,241.1474,2030-01-02 07:01:00,2030-01-02 08:27:00,17.92,99.25,0.0
