,route_name,stop_idx,eta,stop_number,target_uid,delivery,pickup,service_time,open_1,close_1
0,abstract-perrot,62,2030-01-02 07:02:00,1,629750014,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
1,abstract-perrot,63,2030-01-02 07:03:00,2,629750018,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
2,abstract-perrot,13,2030-01-02 07:07:00,3,310408293,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
3,abstract-perrot,57,2030-01-02 07:09:00,4,583412899,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
4,abstract-perrot,77,2030-01-02 07:12:00,5,768231205,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
5,abstract-perrot,74,2030-01-02 07:14:00,6,768231200,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
6,abstract-perrot,56,2030-01-02 07:16:00,7,583411333,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
7,abstract-perrot,30,2030-01-02 07:18:00,8,367411336,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
8,abstract-perrot,75,2030-01-02 07:20:00,9,768231201,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
9,abstract-perrot,39,2030-01-02 07:23:00,10,467744860,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
10,abstract-perrot,50,2030-01-02 07:25:00,11,559485123,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
11,abstract-perrot,88,2030-01-02 07:28:00,12,907142997,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
12,abstract-perrot,45,2030-01-02 07:30:00,13,503224346,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
13,abstract-perrot,89,2030-01-02 07:33:00,14,911170200,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
14,abstract-perrot,46,2030-01-02 07:35:00,15,503224354,5,3,13,2030-01-02 07:00:00,2030-01-02 20:00:00
15,abstract-perrot,71,2030-01-02 07:37:00,16,739756772,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
16,abstract-perrot,34,2030-01-02 07:39:00,17,446783419,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
17,abstract-perrot,1,2030-01-02 07:42:00,18,133193958,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
18,abstract-perrot,83,2030-01-02 07:44:00,19,778699196,5,3,9,2030-01-02 07:00:00,2030-01-02 20:00:00
19,abstract-perrot,3,2030-01-02 07:46:00,20,279464425,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
20,abstract-perrot,82,2030-01-02 07:48:00,21,778690166,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
21,abstract-perrot,81,2030-01-02 07:50:00,22,775415430,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
22,abstract-perrot,72,2030-01-02 07:52:00,23,739778204,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
23,abstract-perrot,6,2030-01-02 07:56:00,24,280958210,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
24,abstract-perrot,55,2030-01-02 07:59:00,25,583257143,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
25,abstract-perrot,31,2030-01-02 08:03:00,26,415802976,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
26,abstract-perrot,25,2030-01-02 08:07:00,27,315252689,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
27,abstract-perrot,9,2030-01-02 08:09:00,28,299224403,5,3,12,2030-01-02 07:00:00,2030-01-02 20:00:00
28,abstract-perrot,10,2030-01-02 08:11:00,29,299225092,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
29,abstract-perrot,32,2030-01-02 08:14:00,30,415803254,5,3,10,2030-01-02 07:00:00,2030-01-02 20:00:00
30,abstract-perrot,51,2030-01-02 08:18:00,31,560602898,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
31,abstract-perrot,90,2030-01-02 08:20:00,32,932249376,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
32,abstract-perrot,53,2030-01-02 08:23:00,33,564399648,5,3,15,2030-01-02 07:00:00,2030-01-02 20:00:00
33,abstract-perrot,54,2030-01-02 08:27:00,34,565770327,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
34,abstract-perrot,49,2030-01-02 08:29:00,35,543384713,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
35,abstract-perrot,42,2030-01-02 08:32:00,36,479092745,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
36,abstract-perrot,24,2030-01-02 08:36:00,37,312577264,5,3,11,2030-01-02 07:00:00,2030-01-02 20:00:00
37,abstract-perrot,23,2030-01-02 08:38:00,38,312576904,5,3,8,2030-01-02 07:00:00,2030-01-02 20:00:00
