,route_name,truck_type,duration_min,distance_m,fuel_cost_€,labor_cost_€,truck_cost_€,total_cost_€,departure,arrival,utilization_time,utilization_load,utilization_rangelimit
0,central-herbert,0,145,5586,22.344,72.5,280.0,374.844,2030-01-02 07:01:00,2030-01-02 09:26:00,30.21,98.9,0.0
1,coincident-pierre,2,58,28504,2.8504,36.54,184.8,224.1904,2030-01-02 07:01:00,2030-01-02 07:59:00,12.08,100.0,0.0
2,counting-cornett,0,139,7153,28.612000000000002,69.5,280.0,378.112,2030-01-02 07:01:00,2030-01-02 09:20:00,28.96,99.6,0.0
3,creamy-olivier,2,59,17104,1.7104000000000001,37.17,184.8,223.68040000000002,2030-01-02 07:01:00,2030-01-02 08:00:00,12.29,99.75,0.0
4,direct-bertrand,2,61,15591,1.5591000000000002,38.43,184.8,224.78910000000002,2030-01-02 07:01:00,2030-01-02 08:02:00,12.71,100.0,0.0
5,noisy-victor,2,59,14110,1.411,37.17,184.8,223.381,2030-01-02 07:01:00,2030-01-02 08:00:00,12.29,98.25,0.0
6,obnoxious-fabre,0,141,9038,36.152,70.5,280.0,386.65200000000004,2030-01-02 07:01:00,2030-01-02 09:22:00,29.38,99.9,0.0
7,purple-colbert,2,57,19173,1.9173,35.910000000000004,184.8,222.62730000000002,2030-01-02 07:01:00,2030-01-02 07:58:00,11.88,99.5,0.0
8,respectful-bellamy,2,62,23712,2.3712,39.06,184.8,226.2312,2030-01-02 07:01:00,2030-01-02 08:03:00,12.92,99.75,0.0
9,rosy-samuel,2,59,17425,1.7425000000000002,37.17,184.8,223.7125,2030-01-02 07:01:00,2030-01-02 08:00:00,12.29,100.0,0.0
10,swift-couture,0,141,9170,36.68,70.5,280.0,387.18,2030-01-02 07:01:00,2030-01-02 09:22:00,29.38,97.5,0.0
11,tranquil-lamar,0,133,15251,61.004000000000005,66.5,280.0,407.504,2030-01-02 07:01:00,2030-01-02 09:14:00,27.71,99.5,0.0
