,route_name,stop_idx,eta,stop_number,target_uid,delivery,pickup,service_time,open_1,close_1
0,central-herbert,63,2030-01-02 07:02:00,1,629750018,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
1,central-herbert,111,2030-01-02 07:04:00,2,1404763943,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
2,central-herbert,528,2030-01-02 07:06:00,3,1008215352,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
3,central-herbert,108,2030-01-02 07:08:00,4,1373977813,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
4,central-herbert,479,2030-01-02 07:10:00,5,665875674,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
5,central-herbert,478,2030-01-02 07:12:00,6,665875663,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
6,central-herbert,102,2030-01-02 07:14:00,7,1326745948,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
7,central-herbert,96,2030-01-02 07:16:00,8,1146292447,16,7,7,2030-01-02 07:00:00,2030-01-02 20:00:00
8,central-herbert,45,2030-01-02 07:18:00,9,503224346,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
9,central-herbert,95,2030-01-02 07:20:00,10,1146292428,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
10,central-herbert,77,2030-01-02 07:22:00,11,768231205,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
11,central-herbert,74,2030-01-02 07:24:00,12,768231200,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
12,central-herbert,381,2030-01-02 07:26:00,13,264741791,16,7,13,2030-01-02 07:00:00,2030-01-02 20:00:00
13,central-herbert,336,2030-01-02 07:28:00,14,230357177,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
14,central-herbert,338,2030-01-02 07:30:00,15,230567953,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
15,central-herbert,339,2030-01-02 07:32:00,16,230567954,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
16,central-herbert,337,2030-01-02 07:34:00,17,230566047,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
17,central-herbert,393,2030-01-02 07:36:00,18,273202992,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
18,central-herbert,359,2030-01-02 07:38:00,19,249263084,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
19,central-herbert,230,2030-01-02 07:40:00,20,5729185009,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
20,central-herbert,88,2030-01-02 07:42:00,21,907142997,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
21,central-herbert,241,2030-01-02 07:44:00,22,6666742585,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
22,central-herbert,395,2030-01-02 07:46:00,23,273646173,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
23,central-herbert,376,2030-01-02 07:48:00,24,260307464,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
24,central-herbert,398,2030-01-02 07:50:00,25,275159990,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
25,central-herbert,326,2030-01-02 07:52:00,26,228968686,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
26,central-herbert,194,2030-01-02 07:54:00,27,3470507586,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
27,central-herbert,115,2030-01-02 07:56:00,28,1423559526,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
28,central-herbert,408,2030-01-02 07:58:00,29,281669751,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
29,central-herbert,405,2030-01-02 08:00:00,30,281357163,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
30,central-herbert,191,2030-01-02 08:02:00,31,3224845421,16,7,7,2030-01-02 07:00:00,2030-01-02 20:00:00
31,central-herbert,466,2030-01-02 08:04:00,32,611618541,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
32,central-herbert,335,2030-01-02 08:06:00,33,230134472,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
33,central-herbert,407,2030-01-02 08:08:00,34,281650312,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
34,central-herbert,279,2030-01-02 08:10:00,35,12035318295,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
35,central-herbert,480,2030-01-02 08:12:00,36,668344583,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
36,central-herbert,165,2030-01-02 08:14:00,37,2386542318,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
37,central-herbert,383,2030-01-02 08:16:00,38,268687348,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
38,central-herbert,394,2030-01-02 08:18:00,39,273520544,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
39,central-herbert,193,2030-01-02 08:20:00,40,3466369334,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
40,central-herbert,196,2030-01-02 08:22:00,41,3676943504,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
41,central-herbert,384,2030-01-02 08:24:00,42,268700611,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
42,central-herbert,99,2030-01-02 08:26:00,43,1300613610,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
43,central-herbert,325,2030-01-02 08:28:00,44,228968680,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
44,central-herbert,277,2030-01-02 08:30:00,45,11522240569,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
45,central-herbert,177,2030-01-02 08:32:00,46,2940313238,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
46,central-herbert,75,2030-01-02 08:34:00,47,768231201,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
47,central-herbert,396,2030-01-02 08:36:00,48,273652089,16,7,7,2030-01-02 07:00:00,2030-01-02 20:00:00
48,central-herbert,330,2030-01-02 08:38:00,49,229316784,16,7,13,2030-01-02 07:00:00,2030-01-02 20:00:00
49,central-herbert,281,2030-01-02 08:40:00,50,12087084525,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
50,central-herbert,56,2030-01-02 08:42:00,51,583411333,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
51,central-herbert,229,2030-01-02 08:44:00,52,5678239622,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
52,central-herbert,217,2030-01-02 08:46:00,53,5155648422,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
53,central-herbert,253,2030-01-02 08:48:00,54,9238631400,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
54,central-herbert,180,2030-01-02 08:50:00,55,2997549697,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
55,central-herbert,460,2030-01-02 08:52:00,56,549576988,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
56,central-herbert,30,2030-01-02 08:54:00,57,367411336,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
57,central-herbert,442,2030-01-02 08:56:00,58,351409390,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
58,central-herbert,222,2030-01-02 08:58:00,59,5362108727,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
59,central-herbert,57,2030-01-02 09:00:00,60,583412899,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
60,central-herbert,13,2030-01-02 09:02:00,61,310408293,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
61,central-herbert,160,2030-01-02 09:04:00,62,2349855098,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
62,central-herbert,192,2030-01-02 09:06:00,63,3315487523,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
63,central-herbert,418,2030-01-02 09:08:00,64,292692332,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
64,central-herbert,278,2030-01-02 09:10:00,65,11621600199,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
65,central-herbert,444,2030-01-02 09:12:00,66,362954595,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
66,central-herbert,498,2030-01-02 09:14:00,67,875254368,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
67,central-herbert,110,2030-01-02 09:16:00,68,1403120910,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
68,central-herbert,187,2030-01-02 09:18:00,69,3125025423,16,7,13,2030-01-02 07:00:00,2030-01-02 20:00:00
69,central-herbert,332,2030-01-02 09:20:00,70,229456566,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
70,central-herbert,538,2030-01-02 09:22:00,71,1080799552,16,7,13,2030-01-02 07:00:00,2030-01-02 20:00:00
71,central-herbert,282,2030-01-02 09:24:00,72,12101176582,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
465,coincident-pierre,130,2030-01-02 07:03:00,1,1521570233,16,7,14,2030-01-02 07:00:00,2030-01-02 20:00:00
466,coincident-pierre,291,2030-01-02 07:05:00,2,47936694,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
467,coincident-pierre,136,2030-01-02 07:07:00,3,1530024649,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
468,coincident-pierre,310,2030-01-02 07:09:00,4,129924270,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
469,coincident-pierre,134,2030-01-02 07:11:00,5,1529996763,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
470,coincident-pierre,135,2030-01-02 07:13:00,6,1529996838,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
471,coincident-pierre,132,2030-01-02 07:15:00,7,1521660943,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
472,coincident-pierre,473,2030-01-02 07:17:00,8,657988244,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
473,coincident-pierre,121,2030-01-02 07:19:00,9,1432780730,16,7,15,2030-01-02 07:00:00,2030-01-02 20:00:00
474,coincident-pierre,122,2030-01-02 07:21:00,10,1432780731,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
475,coincident-pierre,257,2030-01-02 07:23:00,11,9352848206,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
476,coincident-pierre,432,2030-01-02 07:25:00,12,313827641,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
477,coincident-pierre,433,2030-01-02 07:27:00,13,313838456,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
478,coincident-pierre,434,2030-01-02 07:29:00,14,313838460,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
479,coincident-pierre,475,2030-01-02 07:31:00,15,660641613,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
480,coincident-pierre,155,2030-01-02 07:33:00,16,2080832424,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
481,coincident-pierre,84,2030-01-02 07:35:00,17,811533577,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
482,coincident-pierre,59,2030-01-02 07:37:00,18,598161343,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
483,coincident-pierre,290,2030-01-02 07:39:00,19,42422825,16,7,15,2030-01-02 07:00:00,2030-01-02 20:00:00
484,coincident-pierre,455,2030-01-02 07:41:00,20,471666565,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
485,coincident-pierre,133,2030-01-02 07:43:00,21,1526077721,16,7,7,2030-01-02 07:00:00,2030-01-02 20:00:00
486,coincident-pierre,462,2030-01-02 07:45:00,22,554988456,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
487,coincident-pierre,470,2030-01-02 07:47:00,23,655447232,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
488,coincident-pierre,501,2030-01-02 07:49:00,24,916905416,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
489,coincident-pierre,44,2030-01-02 07:51:00,25,491319669,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
490,coincident-pierre,225,2030-01-02 07:53:00,26,5413409337,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
491,coincident-pierre,307,2030-01-02 07:55:00,27,128942373,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
492,coincident-pierre,474,2030-01-02 07:57:00,28,660054530,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
72,counting-cornett,6,2030-01-02 07:02:00,1,280958210,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
73,counting-cornett,234,2030-01-02 07:04:00,2,5866396179,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
74,counting-cornett,231,2030-01-02 07:06:00,3,5759625992,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
75,counting-cornett,89,2030-01-02 07:08:00,4,911170200,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
76,counting-cornett,46,2030-01-02 07:10:00,5,503224354,16,7,13,2030-01-02 07:00:00,2030-01-02 20:00:00
77,counting-cornett,453,2030-01-02 07:12:00,6,408630074,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
78,counting-cornett,101,2030-01-02 07:14:00,7,1326745943,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
79,counting-cornett,242,2030-01-02 07:16:00,8,6782589728,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
80,counting-cornett,76,2030-01-02 07:18:00,9,768231204,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
81,counting-cornett,238,2030-01-02 07:20:00,10,6551427836,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
82,counting-cornett,385,2030-01-02 07:22:00,11,268843105,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
83,counting-cornett,188,2030-01-02 07:24:00,12,3130376927,16,7,13,2030-01-02 07:00:00,2030-01-02 20:00:00
84,counting-cornett,269,2030-01-02 07:26:00,13,10601110758,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
85,counting-cornett,340,2030-01-02 07:28:00,14,230613179,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
86,counting-cornett,389,2030-01-02 07:30:00,15,270968057,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
87,counting-cornett,550,2030-01-02 07:32:00,16,14704472,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
88,counting-cornett,387,2030-01-02 07:34:00,17,269759933,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
89,counting-cornett,386,2030-01-02 07:36:00,18,269759932,16,7,13,2030-01-02 07:00:00,2030-01-02 20:00:00
90,counting-cornett,235,2030-01-02 07:38:00,19,6245890989,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
91,counting-cornett,392,2030-01-02 07:40:00,20,271989540,16,7,12,2030-01-02 07:00:00,2030-01-02 20:00:00
92,counting-cornett,284,2030-01-02 07:42:00,21,12167965955,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
93,counting-cornett,377,2030-01-02 07:44:00,22,261269400,16,7,9,2030-01-02 07:00:00,2030-01-02 20:00:00
94,counting-cornett,173,2030-01-02 07:46:00,23,2859655009,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
95,counting-cornett,547,2030-01-02 07:48:00,24,3375611,16,7,14,2030-01-02 07:00:00,2030-01-02 20:00:00
96,counting-cornett,360,2030-01-02 07:50:00,25,249268180,16,7,13,2030-01-02 07:00:00,2030-01-02 20:00:00
97,counting-cornett,366,2030-01-02 07:52:00,26,251194993,16,7,10,2030-01-02 07:00:00,2030-01-02 20:00:00
98,counting-cornett,208,2030-01-02 07:54:00,27,4383657305,16,7,8,2030-01-02 07:00:00,2030-01-02 20:00:00
99,counting-cornett,39,2030-01-02 07:56:00,28,467744860,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
100,counting-cornett,457,2030-01-02 07:58:00,29,517592734,16,7,11,2030-01-02 07:00:00,2030-01-02 20:00:00
101,counting-cornett,223,2030-01-02 08:00:00,30,5367355656,16,7,7,2030-01-02 07:00:00,2030-01-02 20:00:00
102,counting-cornett,315,2030-01-02 08:02:00,31,227764081,16,7,7,2030-01-02 07:00:00,2030-01-02 20:00:00
